country,1995,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Togo,,,,28.5,21.9,,,,,,,16.9,,,,15.3,,,,,,,
Thailand,,15.7,18.8,,,15.4,,,14.8,,,,7.04,8.45,14,14.2,18.4,18,,,,,
Timor-Leste,,,,,,,,,,,,,,,,1.44,2.54,4.36,7.92,,,,
Tonga,,,,,,,7.63,8.79,7.45,,,,,,,,,,,,,,
Tunisia,,30.8,,25,24.6,23.8,21.7,23.8,21.2,21.9,,,24.6,,,,,,,52.4,,,
Turkey,,,,,,,,,,,,,,,,,11.8,11.8,11.2,11.6,13.5,,
Tanzania,,,,,,,,,,,,,,,11.8,,,,14.9,,,,
Ukraine,,,,,,,,,,,,,,,,27.5,30.3,30.4,25.9,,25.6,30.3,
Uruguay,,,,10.5,10,9.58,8.01,6.5,8.45,9.91,10.7,,,,,14.7,,,,,15.9,16.2,
United States,,,,,,,,,,,,,,,24.3,23.9,22.8,22.6,22.4,21.7,22.1,,
St. Vincent and the Grenadines,,,,,22.5,,,,,22.4,,17.4,,21.6,17.5,18.7,,21.6,21.9,21.1,20.4,20,20.1
Venezuela,,,,,,,,,,,8.25,7.96,,16.3,,,,,,14.8,,,
British Virgin Islands,,,,,,11,,,12.7,11.7,16.1,15.5,,18,17.8,,,,,14.1,,10.9,
Vanuatu,,,,71.7,61.3,88.9,,,,,,,,,,,,,,21,,,
Samoa,,,,8.91,8.45,9.18,,,,,,,,,,,,,,,13,,
Yemen,,,,,,,,,,,,,,,,11.8,,,,,,,
South Africa,,,,20.4,17.8,17.4,17,18.2,19,17,16.2,17,15.4,17.3,19.4,21.4,21.1,,,19.1,,19.6,21.4
Zimbabwe,,,,,,,,,,,,,,,,,22.2,22.2,,,,,
